;pais;anos;quantidade;valor;origem;tipo
175;Ucrânia;2012;0;0;Brasil;Espumantes
176;Uruguai;2012;87;600;Brasil;Espumantes
177;Não consta na tabela;2012;0;0;Brasil;Espumantes
178;Não declarados;2012;0;0;Brasil;Espumantes
179;Outros;2012;0;0;Brasil;Espumantes
180;Africa do Sul;2013;26985;158325;Brasil;Espumantes
181;Alemanha;2013;1247;11745;Brasil;Espumantes
182;Argentina;2013;702963;2545215;Brasil;Espumantes
183;Austrália;2013;30;419;Brasil;Espumantes
184;Áustria;2013;720;6050;Brasil;Espumantes
185;Bermudas;2013;0;0;Brasil;Espumantes
186;Bahamas;2013;0;0;Brasil;Espumantes
187;Bélgica;2013;0;0;Brasil;Espumantes
188;Brasil;2013;10195;44337;Brasil;Espumantes
189;Bulgária;2013;0;0;Brasil;Espumantes
190;Canada;2013;0;0;Brasil;Espumantes
191;Chile;2013;123026;478646;Brasil;Espumantes
192;Croácia;2013;0;0;Brasil;Espumantes
193;Cuba;2013;0;0;Brasil;Espumantes
194;Emirados Árabes Unidos;2013;0;0;Brasil;Espumantes
195;Eslovênia;2013;0;0;Brasil;Espumantes
196;Espanha;2013;850428;3917939;Brasil;Espumantes
197;Estados Unidos;2013;15698;50841;Brasil;Espumantes
198;França;2013;1491052;22873679;Brasil;Espumantes
199;Geórgia;2013;0;0;Brasil;Espumantes
200;Granada;2013;0;0;Brasil;Espumantes
201;Grécia;2013;113;222;Brasil;Espumantes
202;Hong Kong;2013;283;1593;Brasil;Espumantes
203;Hungria;2013;1020;2984;Brasil;Espumantes
204;Indonésia;2013;0;0;Brasil;Espumantes
205;Irlanda;2013;0;0;Brasil;Espumantes
206;Israel;2013;0;0;Brasil;Espumantes
207;Itália;2013;978230;4223637;Brasil;Espumantes
208;Luxemburgo;2013;0;0;Brasil;Espumantes
209;México;2013;0;0;Brasil;Espumantes
210;Moldávia;2013;0;0;Brasil;Espumantes
211;Nova Zelândia;2013;180;1950;Brasil;Espumantes
212;Países Baixos;2013;0;0;Brasil;Espumantes
213;Panamá;2013;0;0;Brasil;Espumantes
214;Peru;2013;0;0;Brasil;Espumantes
215;Portugal;2013;66552;331054;Brasil;Espumantes
216;Reino Unido;2013;0;0;Brasil;Espumantes
217;Romênia;2013;0;0;Brasil;Espumantes
218;Suíça;2013;0;0;Brasil;Espumantes
219;Tunísia;2013;800;3887;Brasil;Espumantes
220;Ucrânia;2013;0;0;Brasil;Espumantes
221;Uruguai;2013;0;0;Brasil;Espumantes
222;Não consta na tabela;2013;0;0;Brasil;Espumantes
223;Não declarados;2013;0;0;Brasil;Espumantes
224;Outros;2013;0;0;Brasil;Espumantes
225;Africa do Sul;2014;18659;114275;Brasil;Espumantes
226;Alemanha;2014;5093;34413;Brasil;Espumantes
227;Argentina;2014;807366;3221463;Brasil;Espumantes
228;Austrália;2014;0;0;Brasil;Espumantes
229;Áustria;2014;698;6352;Brasil;Espumantes
230;Bermudas;2014;0;0;Brasil;Espumantes
231;Bahamas;2014;0;0;Brasil;Espumantes
232;Bélgica;2014;0;0;Brasil;Espumantes
233;Brasil;2014;8606;37228;Brasil;Espumantes
234;Bulgária;2014;222;546;Brasil;Espumantes
235;Canada;2014;0;0;Brasil;Espumantes
236;Chile;2014;133935;599993;Brasil;Espumantes
237;Croácia;2014;0;0;Brasil;Espumantes
238;Cuba;2014;0;0;Brasil;Espumantes
239;Emirados Árabes Unidos;2014;8;271;Brasil;Espumantes
240;Eslovênia;2014;445;2329;Brasil;Espumantes
241;Espanha;2014;925502;4519845;Brasil;Espumantes
242;Estados Unidos;2014;27023;101802;Brasil;Espumantes
243;França;2014;1230946;20831149;Brasil;Espumantes
244;Geórgia;2014;0;0;Brasil;Espumantes
245;Granada;2014;0;0;Brasil;Espumantes
246;Grécia;2014;329;1459;Brasil;Espumantes
247;Hong Kong;2014;0;0;Brasil;Espumantes
248;Hungria;2014;518;1715;Brasil;Espumantes
249;Indonésia;2014;0;0;Brasil;Espumantes
250;Irlanda;2014;0;0;Brasil;Espumantes
251;Israel;2014;0;0;Brasil;Espumantes
252;Itália;2014;1095148;4462987;Brasil;Espumantes
253;Luxemburgo;2014;0;0;Brasil;Espumantes
254;México;2014;0;0;Brasil;Espumantes
255;Moldávia;2014;0;0;Brasil;Espumantes
256;Nova Zelândia;2014;450;3023;Brasil;Espumantes
257;Países Baixos;2014;0;0;Brasil;Espumantes
258;Panamá;2014;0;0;Brasil;Espumantes
259;Peru;2014;305;977;Brasil;Espumantes
260;Portugal;2014;60430;316889;Brasil;Espumantes
261;Reino Unido;2014;0;0;Brasil;Espumantes
262;Romênia;2014;743;1011;Brasil;Espumantes
263;Suíça;2014;0;0;Brasil;Espumantes
264;Tunísia;2014;0;0;Brasil;Espumantes
265;Ucrânia;2014;0;0;Brasil;Espumantes
266;Uruguai;2014;1068;3310;Brasil;Espumantes
267;Não consta na tabela;2014;0;0;Brasil;Espumantes
268;Não declarados;2014;0;0;Brasil;Espumantes
269;Outros;2014;0;0;Brasil;Espumantes
270;Africa do Sul;2015;19686;96316;Brasil;Espumantes
271;Alemanha;2015;3647;5589;Brasil;Espumantes
272;Argentina;2015;490536;1814349;Brasil;Espumantes
273;Austrália;2015;4967;15439;Brasil;Espumantes
274;Áustria;2015;0;0;Brasil;Espumantes
275;Bermudas;2015;0;0;Brasil;Espumantes
276;Bahamas;2015;73;684;Brasil;Espumantes
277;Bélgica;2015;0;0;Brasil;Espumantes
278;Brasil;2015;6383;47936;Brasil;Espumantes
279;Bulgária;2015;4;7;Brasil;Espumantes
280;Canada;2015;0;0;Brasil;Espumantes
281;Chile;2015;236342;838250;Brasil;Espumantes
282;Croácia;2015;225;483;Brasil;Espumantes
283;Cuba;2015;29;243;Brasil;Espumantes
284;Emirados Árabes Unidos;2015;104;2005;Brasil;Espumantes
285;Eslovênia;2015;1058;5075;Brasil;Espumantes
286;Espanha;2015;899587;4183324;Brasil;Espumantes
287;Estados Unidos;2015;18519;85864;Brasil;Espumantes
288;França;2015;1341884;21849752;Brasil;Espumantes
289;Geórgia;2015;0;0;Brasil;Espumantes
290;Granada;2015;0;0;Brasil;Espumantes
291;Grécia;2015;577;1574;Brasil;Espumantes
292;Hong Kong;2015;0;0;Brasil;Espumantes
293;Hungria;2015;0;0;Brasil;Espumantes
294;Indonésia;2015;0;0;Brasil;Espumantes
295;Irlanda;2015;391;4062;Brasil;Espumantes
296;Israel;2015;0;0;Brasil;Espumantes
297;Itália;2015;1017420;3670403;Brasil;Espumantes
298;Luxemburgo;2015;0;0;Brasil;Espumantes
299;México;2015;1154;9334;Brasil;Espumantes
300;Moldávia;2015;0;0;Brasil;Espumantes
301;Nova Zelândia;2015;135;1684;Brasil;Espumantes
302;Países Baixos;2015;0;0;Brasil;Espumantes
303;Panamá;2015;0;0;Brasil;Espumantes
304;Peru;2015;0;0;Brasil;Espumantes
305;Portugal;2015;59472;223379;Brasil;Espumantes
306;Reino Unido;2015;467;4211;Brasil;Espumantes
307;Romênia;2015;488;528;Brasil;Espumantes
308;Suíça;2015;0;0;Brasil;Espumantes
309;Tunísia;2015;0;0;Brasil;Espumantes
310;Ucrânia;2015;0;0;Brasil;Espumantes
311;Uruguai;2015;1760;2832;Brasil;Espumantes
312;Não consta na tabela;2015;0;0;Brasil;Espumantes
313;Não declarados;2015;0;0;Brasil;Espumantes
314;Outros;2015;0;0;Brasil;Espumantes
315;Africa do Sul;2016;7394;50715;Brasil;Espumantes
316;Alemanha;2016;3420;8275;Brasil;Espumantes
317;Argentina;2016;358510;1240249;Brasil;Espumantes
318;Austrália;2016;19182;32115;Brasil;Espumantes
319;Áustria;2016;0;0;Brasil;Espumantes
320;Bermudas;2016;0;0;Brasil;Espumantes
321;Bahamas;2016;60;688;Brasil;Espumantes
322;Bélgica;2016;0;0;Brasil;Espumantes
323;Brasil;2016;1014;4936;Brasil;Espumantes
324;Bulgária;2016;0;0;Brasil;Espumantes
325;Canada;2016;0;0;Brasil;Espumantes
326;Chile;2016;117678;523242;Brasil;Espumantes
327;Croácia;2016;0;0;Brasil;Espumantes
328;Cuba;2016;0;0;Brasil;Espumantes
329;Emirados Árabes Unidos;2016;2371;38954;Brasil;Espumantes
330;Eslovênia;2016;2115;9486;Brasil;Espumantes
331;Espanha;2016;864154;3249876;Brasil;Espumantes
332;Estados Unidos;2016;12343;30366;Brasil;Espumantes
333;França;2016;1171383;12017375;Brasil;Espumantes
334;Geórgia;2016;0;0;Brasil;Espumantes
335;Granada;2016;0;0;Brasil;Espumantes
336;Grécia;2016;0;0;Brasil;Espumantes
337;Hong Kong;2016;0;0;Brasil;Espumantes
338;Hungria;2016;1238;5927;Brasil;Espumantes
339;Indonésia;2016;0;0;Brasil;Espumantes
340;Irlanda;2016;0;0;Brasil;Espumantes
341;Israel;2016;0;0;Brasil;Espumantes
342;Itália;2016;1089617;3467993;Brasil;Espumantes
343;Luxemburgo;2016;0;0;Brasil;Espumantes
344;México;2016;0;0;Brasil;Espumantes
345;Moldávia;2016;0;0;Brasil;Espumantes
346;Nova Zelândia;2016;0;0;Brasil;Espumantes
347;Países Baixos;2016;0;0;Brasil;Espumantes
348;Panamá;2016;0;0;Brasil;Espumantes
349;Peru;2016;0;0;Brasil;Espumantes
350;Portugal;2016;88448;321629;Brasil;Espumantes
351;Reino Unido;2016;0;0;Brasil;Espumantes
352;Romênia;2016;0;0;Brasil;Espumantes
353;Suíça;2016;11;711;Brasil;Espumantes
354;Tunísia;2016;0;0;Brasil;Espumantes
355;Ucrânia;2016;1739;2423;Brasil;Espumantes
356;Uruguai;2016;7880;42863;Brasil;Espumantes
357;Não consta na tabela;2016;0;0;Brasil;Espumantes
358;Não declarados;2016;0;0;Brasil;Espumantes
359;Outros;2016;0;0;Brasil;Espumantes
360;Africa do Sul;2017;4913;23919;Brasil;Espumantes
361;Alemanha;2017;4819;37116;Brasil;Espumantes
362;Argentina;2017;661857;2249681;Brasil;Espumantes
363;Austrália;2017;19198;51731;Brasil;Espumantes
364;Áustria;2017;0;0;Brasil;Espumantes
365;Bermudas;2017;0;0;Brasil;Espumantes
366;Bahamas;2017;519;11136;Brasil;Espumantes
367;Bélgica;2017;923;50574;Brasil;Espumantes
368;Brasil;2017;6166;180512;Brasil;Espumantes
369;Bulgária;2017;3;716;Brasil;Espumantes
370;Canada;2017;0;0;Brasil;Espumantes
371;Chile;2017;304391;1350744;Brasil;Espumantes
372;Croácia;2017;0;0;Brasil;Espumantes
373;Cuba;2017;0;0;Brasil;Espumantes
374;Emirados Árabes Unidos;2017;0;0;Brasil;Espumantes
375;Eslovênia;2017;2093;10110;Brasil;Espumantes
376;Espanha;2017;1493908;5592839;Brasil;Espumantes
377;Estados Unidos;2017;8408;226792;Brasil;Espumantes
378;França;2017;1778528;14966946;Brasil;Espumantes
379;Geórgia;2017;0;0;Brasil;Espumantes
380;Granada;2017;0;0;Brasil;Espumantes
381;Grécia;2017;156;277;Brasil;Espumantes
382;Hong Kong;2017;0;0;Brasil;Espumantes
383;Hungria;2017;1624;6960;Brasil;Espumantes
384;Indonésia;2017;0;0;Brasil;Espumantes
385;Irlanda;2017;0;0;Brasil;Espumantes
386;Israel;2017;0;0;Brasil;Espumantes
387;Itália;2017;3065767;5635842;Brasil;Espumantes
388;Luxemburgo;2017;0;0;Brasil;Espumantes
389;México;2017;0;0;Brasil;Espumantes
390;Moldávia;2017;0;0;Brasil;Espumantes
391;Nova Zelândia;2017;0;0;Brasil;Espumantes
392;Países Baixos;2017;0;0;Brasil;Espumantes
393;Panamá;2017;0;0;Brasil;Espumantes
394;Peru;2017;0;0;Brasil;Espumantes
395;Portugal;2017;123786;492083;Brasil;Espumantes
396;Reino Unido;2017;350;2424;Brasil;Espumantes
397;Romênia;2017;0;0;Brasil;Espumantes
398;Suíça;2017;0;0;Brasil;Espumantes
399;Tunísia;2017;0;0;Brasil;Espumantes
400;Ucrânia;2017;0;0;Brasil;Espumantes
401;Uruguai;2017;1080;7920;Brasil;Espumantes
402;Não consta na tabela;2017;0;0;Brasil;Espumantes
403;Não declarados;2017;0;0;Brasil;Espumantes
404;Outros;2017;0;0;Brasil;Espumantes
405;Africa do Sul;2018;15368;74800;Brasil;Espumantes
406;Alemanha;2018;18376;82273;Brasil;Espumantes
407;Argentina;2018;706478;2462909;Brasil;Espumantes
408;Austrália;2018;57917;212199;Brasil;Espumantes
409;Áustria;2018;1228;11638;Brasil;Espumantes
410;Bermudas;2018;0;0;Brasil;Espumantes
411;Bahamas;2018;169;2283;Brasil;Espumantes
412;Bélgica;2018;0;0;Brasil;Espumantes
413;Brasil;2018;566215;162992;Brasil;Espumantes
414;Bulgária;2018;0;0;Brasil;Espumantes
415;Canada;2018;3852;109402;Brasil;Espumantes
416;Chile;2018;316293;1312445;Brasil;Espumantes
417;Croácia;2018;0;0;Brasil;Espumantes
418;Cuba;2018;0;0;Brasil;Espumantes
419;Emirados Árabes Unidos;2018;0;0;Brasil;Espumantes
420;Eslovênia;2018;1800;8860;Brasil;Espumantes
421;Espanha;2018;1515106;5707839;Brasil;Espumantes
422;Estados Unidos;2018;26405;64081;Brasil;Espumantes
423;França;2018;3637804;12678962;Brasil;Espumantes
424;Geórgia;2018;0;0;Brasil;Espumantes
425;Granada;2018;0;0;Brasil;Espumantes
426;Grécia;2018;0;0;Brasil;Espumantes
427;Hong Kong;2018;0;0;Brasil;Espumantes
428;Hungria;2018;1802;5977;Brasil;Espumantes
429;Indonésia;2018;35;271;Brasil;Espumantes
430;Irlanda;2018;0;0;Brasil;Espumantes
431;Israel;2018;0;0;Brasil;Espumantes
432;Itália;2018;2147490;5947967;Brasil;Espumantes
433;Luxemburgo;2018;208;1902;Brasil;Espumantes
434;México;2018;95;777;Brasil;Espumantes
435;Moldávia;2018;0;0;Brasil;Espumantes
436;Nova Zelândia;2018;0;0;Brasil;Espumantes
437;Países Baixos;2018;305;10695;Brasil;Espumantes
438;Panamá;2018;15057;30546;Brasil;Espumantes
439;Peru;2018;0;0;Brasil;Espumantes
440;Portugal;2018;128802;526987;Brasil;Espumantes
441;Reino Unido;2018;3834;104831;Brasil;Espumantes
442;Romênia;2018;0;0;Brasil;Espumantes
443;Suíça;2018;576;4031;Brasil;Espumantes
444;Tunísia;2018;0;0;Brasil;Espumantes
445;Ucrânia;2018;0;0;Brasil;Espumantes
446;Uruguai;2018;776;5786;Brasil;Espumantes
447;Não consta na tabela;2018;0;0;Brasil;Espumantes
448;Não declarados;2018;0;0;Brasil;Espumantes
449;Outros;2018;0;0;Brasil;Espumantes
450;Africa do Sul;2019;17583;72077;Brasil;Espumantes
451;Alemanha;2019;26853;169989;Brasil;Espumantes
452;Argentina;2019;757716;2282614;Brasil;Espumantes
453;Austrália;2019;16701;27592;Brasil;Espumantes
454;Áustria;2019;1269;11571;Brasil;Espumantes
455;Bermudas;2019;0;0;Brasil;Espumantes
456;Bahamas;2019;0;0;Brasil;Espumantes
457;Bélgica;2019;0;0;Brasil;Espumantes
458;Brasil;2019;15464;238268;Brasil;Espumantes
459;Bulgária;2019;0;0;Brasil;Espumantes
460;Canada;2019;0;0;Brasil;Espumantes
461;Chile;2019;233064;912613;Brasil;Espumantes
462;Croácia;2019;0;0;Brasil;Espumantes
463;Cuba;2019;0;0;Brasil;Espumantes
464;Emirados Árabes Unidos;2019;0;0;Brasil;Espumantes
465;Eslovênia;2019;518;2539;Brasil;Espumantes
466;Espanha;2019;1440241;4463736;Brasil;Espumantes
467;Estados Unidos;2019;13239;105197;Brasil;Espumantes
468;França;2019;1610293;13991734;Brasil;Espumantes
469;Geórgia;2019;0;0;Brasil;Espumantes
470;Granada;2019;0;0;Brasil;Espumantes
471;Grécia;2019;230;318;Brasil;Espumantes
472;Hong Kong;2019;0;0;Brasil;Espumantes
473;Hungria;2019;585;1379;Brasil;Espumantes
474;Indonésia;2019;66;529;Brasil;Espumantes
475;Irlanda;2019;0;0;Brasil;Espumantes
476;Israel;2019;5035;17085;Brasil;Espumantes
477;Itália;2019;1874314;4790173;Brasil;Espumantes
478;Luxemburgo;2019;518;4067;Brasil;Espumantes
479;México;2019;133;1104;Brasil;Espumantes
480;Moldávia;2019;0;0;Brasil;Espumantes
481;Nova Zelândia;2019;72;657;Brasil;Espumantes
482;Países Baixos;2019;827;47027;Brasil;Espumantes
483;Panamá;2019;0;0;Brasil;Espumantes
484;Peru;2019;0;0;Brasil;Espumantes
485;Portugal;2019;144296;621259;Brasil;Espumantes
486;Reino Unido;2019;1320;11869;Brasil;Espumantes
487;Romênia;2019;0;0;Brasil;Espumantes
488;Suíça;2019;0;0;Brasil;Espumantes
489;Tunísia;2019;0;0;Brasil;Espumantes
490;Ucrânia;2019;0;0;Brasil;Espumantes
491;Uruguai;2019;2241;22983;Brasil;Espumantes
492;Não consta na tabela;2019;0;0;Brasil;Espumantes
