;pais;anos;quantidade;valor;origem;tipo
503;Geórgia do Sul e Sandwich do Sul, Ilhas;2016;0.0;0.0;Brasil;Vinhos
504;Grécia;2016;6568.0;18637.0;Brasil;Vinhos
505;Hong Kong;2016;0.0;0.0;Brasil;Vinhos
506;Hungria;2016;8315.0;58756.0;Brasil;Vinhos
507;Indonésia;2016;0.0;43.0;Brasil;Vinhos
508;Irlanda;2016;0.0;43.0;Brasil;Vinhos
509;Israel;2016;12548.0;44277.0;Brasil;Vinhos
510;Itália;2016;7936409.0;22216811.0;Brasil;Vinhos
511;Japão;2016;0.0;0.0;Brasil;Vinhos
512;Iugoslávia;2016;0.0;0.0;Brasil;Vinhos
513;Líbano;2016;10665.0;71374.0;Brasil;Vinhos
514;Luxemburgo;2016;0.0;43.0;Brasil;Vinhos
515;Macedônia;2016;0.0;0.0;Brasil;Vinhos
516;Marrocos;2016;0.0;0.0;Brasil;Vinhos
517;México;2016;0.0;0.0;Brasil;Vinhos
518;Moldávia;2016;0.0;0.0;Brasil;Vinhos
519;Montenegro;2016;0.0;0.0;Brasil;Vinhos
520;Noruega;2016;396.0;253.0;Brasil;Vinhos
521;Nova Zelândia;2016;50177.0;361030.0;Brasil;Vinhos
522;Países Baixos (Holanda);2016;0.0;43.0;Brasil;Vinhos
523;Panamá;2016;0.0;0.0;Brasil;Vinhos
524;Peru;2016;0.0;0.0;Brasil;Vinhos
525;Porto Rico;2016;0.0;0.0;Brasil;Vinhos
526;Portugal;2016;10821232.0;29495190.0;Brasil;Vinhos
527;Reino Unido;2016;5.0;255.0;Brasil;Vinhos
528;Republica Dominicana;2016;0.0;43.0;Brasil;Vinhos
529;Romênia;2016;0.0;0.0;Brasil;Vinhos
530;Rússia;2016;0.0;43.0;Brasil;Vinhos
531;San Marino;2016;0.0;0.0;Brasil;Vinhos
532;Sérvia;2016;0.0;0.0;Brasil;Vinhos
533;Síria;2016;0.0;0.0;Brasil;Vinhos
534;Suazilândia;2016;0.0;0.0;Brasil;Vinhos
535;Suíça;2016;6.0;245.0;Brasil;Vinhos
536;Tcheca, República;2016;0.0;0.0;Brasil;Vinhos
537;Tunísia;2016;0.0;0.0;Brasil;Vinhos
538;Turquia;2016;0.0;0.0;Brasil;Vinhos
539;Ucrânia;2016;5319.0;9679.0;Brasil;Vinhos
540;Uruguai;2016;2215692.0;5099162.0;Brasil;Vinhos
541;Não consta na tabela;2016;0.0;0.0;Brasil;Vinhos
542;Não declarados;2016;0.0;0.0;Brasil;Vinhos
543;Outros;2016;0.0;0.0;Brasil;Vinhos
544;Africa do Sul;2017;1138732.0;3241298.0;Brasil;Vinhos
545;Alemanha;2017;83289.0;315959.0;Brasil;Vinhos
546;Argélia;2017;0.0;0.0;Brasil;Vinhos
547;Arábia Saudita;2017;0.0;0.0;Brasil;Vinhos
548;Argentina;2017;15461740.0;51770842.0;Brasil;Vinhos
549;Armênia;2017;0.0;0.0;Brasil;Vinhos
550;Austrália;2017;354641.0;1246545.0;Brasil;Vinhos
551;Áustria;2017;2655.0;24629.0;Brasil;Vinhos
552;Bermudas;2017;0.0;0.0;Brasil;Vinhos
553;Bélgica;2017;4376.0;45221.0;Brasil;Vinhos
554;Bolívia;2017;0.0;0.0;Brasil;Vinhos
555;Bósnia-Herzegovina;2017;0.0;0.0;Brasil;Vinhos
556;Brasil;2017;845617.0;260135.0;Brasil;Vinhos
557;Bulgária;2017;35284.0;68234.0;Brasil;Vinhos
558;Canada;2017;0.0;0.0;Brasil;Vinhos
559;Chile;2017;51787643.0;145628860.0;Brasil;Vinhos
560;China;2017;1000.0;613.0;Brasil;Vinhos
561;Coreia do Sul, República;2017;0.0;0.0;Brasil;Vinhos
562;Croácia;2017;0.0;0.0;Brasil;Vinhos
563;Cuba;2017;0.0;0.0;Brasil;Vinhos
564;Emirados Árabes Unidos;2017;0.0;0.0;Brasil;Vinhos
565;Eslovênia;2017;0.0;0.0;Brasil;Vinhos
566;Eslováquia;2017;21424.0;64828.0;Brasil;Vinhos
567;Espanha;2017;7240535.0;19834451.0;Brasil;Vinhos
568;Estados Unidos;2017;1372347.0;4110641.0;Brasil;Vinhos
569;França;2017;5921728.0;25280255.0;Brasil;Vinhos
570;Geórgia;2017;0.0;0.0;Brasil;Vinhos
571;Geórgia do Sul e Sandwich do Sul, Ilhas;2017;0.0;0.0;Brasil;Vinhos
572;Grécia;2017;40775.0;139486.0;Brasil;Vinhos
573;Hong Kong;2017;0.0;0.0;Brasil;Vinhos
574;Hungria;2017;23813.0;168353.0;Brasil;Vinhos
575;Indonésia;2017;0.0;0.0;Brasil;Vinhos
576;Irlanda;2017;0.0;0.0;Brasil;Vinhos
577;Israel;2017;37302.0;120463.0;Brasil;Vinhos
578;Itália;2017;11538990.0;33707111.0;Brasil;Vinhos
579;Japão;2017;0.0;0.0;Brasil;Vinhos
580;Iugoslávia;2017;0.0;0.0;Brasil;Vinhos
581;Líbano;2017;12737.0;93480.0;Brasil;Vinhos
582;Luxemburgo;2017;0.0;0.0;Brasil;Vinhos
583;Macedônia;2017;0.0;0.0;Brasil;Vinhos
584;Marrocos;2017;0.0;0.0;Brasil;Vinhos
585;México;2017;0.0;0.0;Brasil;Vinhos
586;Moldávia;2017;0.0;0.0;Brasil;Vinhos
587;Montenegro;2017;0.0;0.0;Brasil;Vinhos
588;Noruega;2017;5.0;27.0;Brasil;Vinhos
589;Nova Zelândia;2017;31379.0;248412.0;Brasil;Vinhos
590;Países Baixos (Holanda);2017;0.0;0.0;Brasil;Vinhos
591;Panamá;2017;0.0;0.0;Brasil;Vinhos
592;Peru;2017;0.0;0.0;Brasil;Vinhos
593;Porto Rico;2017;0.0;0.0;Brasil;Vinhos
594;Portugal;2017;17345709.0;45032247.0;Brasil;Vinhos
595;Reino Unido;2017;16.0;1033.0;Brasil;Vinhos
596;Republica Dominicana;2017;0.0;0.0;Brasil;Vinhos
597;Romênia;2017;18509.0;52150.0;Brasil;Vinhos
598;Rússia;2017;0.0;0.0;Brasil;Vinhos
599;San Marino;2017;0.0;0.0;Brasil;Vinhos
600;Sérvia;2017;0.0;0.0;Brasil;Vinhos
601;Síria;2017;398.0;269.0;Brasil;Vinhos
602;Suazilândia;2017;0.0;0.0;Brasil;Vinhos
603;Suíça;2017;138.0;2873.0;Brasil;Vinhos
604;Tcheca, República;2017;0.0;0.0;Brasil;Vinhos
605;Tunísia;2017;0.0;0.0;Brasil;Vinhos
