;pais;anos;quantidade;valor;origem;tipo
152;Chile;2014;0;0;Brasil;Suco de Uva
153;China;2014;0;0;Brasil;Suco de Uva
154;Dinamarca;2014;0;0;Brasil;Suco de Uva
155;Espanha;2014;0;0;Brasil;Suco de Uva
156;Estados Unidos;2014;0;0;Brasil;Suco de Uva
157;França;2014;0;0;Brasil;Suco de Uva
158;Guiana;2014;0;0;Brasil;Suco de Uva
159;Israel;2014;0;0;Brasil;Suco de Uva
160;itália;2014;0;0;Brasil;Suco de Uva
161;Japão;2014;0;0;Brasil;Suco de Uva
162;Líbano;2014;0;0;Brasil;Suco de Uva
163;México;2014;0;0;Brasil;Suco de Uva
164;Países Baixos;2014;0;0;Brasil;Suco de Uva
165;Panamá;2014;0;0;Brasil;Suco de Uva
166;Peru;2014;0;0;Brasil;Suco de Uva
167;Portugal;2014;0;0;Brasil;Suco de Uva
168;Reino Unido;2014;0;0;Brasil;Suco de Uva
169;Taiwan;2014;2040;1294;Brasil;Suco de Uva
170;Turquia;2014;13428;10216;Brasil;Suco de Uva
171;Uruguai;2014;0;0;Brasil;Suco de Uva
172;Venezuela;2014;0;0;Brasil;Suco de Uva
173;Outros;2014;0;0;Brasil;Suco de Uva
174;Africa do Sul;2015;13125;13209;Brasil;Suco de Uva
175;Alemanha;2015;6496;46692;Brasil;Suco de Uva
176;Argentina;2015;0;0;Brasil;Suco de Uva
177;Austria;2015;0;0;Brasil;Suco de Uva
178;Canadá;2015;0;0;Brasil;Suco de Uva
179;Coreia do Sul, República;2015;85145;49712;Brasil;Suco de Uva
180;Coreia do Norte, República;2015;15651;22621;Brasil;Suco de Uva
181;Chile;2015;23790;29024;Brasil;Suco de Uva
182;China;2015;0;0;Brasil;Suco de Uva
183;Dinamarca;2015;0;0;Brasil;Suco de Uva
184;Espanha;2015;0;0;Brasil;Suco de Uva
185;Estados Unidos;2015;23578;28765;Brasil;Suco de Uva
186;França;2015;862;2229;Brasil;Suco de Uva
187;Guiana;2015;0;0;Brasil;Suco de Uva
188;Israel;2015;2575;4651;Brasil;Suco de Uva
189;itália;2015;225;771;Brasil;Suco de Uva
190;Japão;2015;0;0;Brasil;Suco de Uva
191;Líbano;2015;0;0;Brasil;Suco de Uva
192;México;2015;0;0;Brasil;Suco de Uva
193;Países Baixos;2015;0;0;Brasil;Suco de Uva
194;Panamá;2015;0;0;Brasil;Suco de Uva
195;Peru;2015;0;0;Brasil;Suco de Uva
196;Portugal;2015;0;0;Brasil;Suco de Uva
197;Reino Unido;2015;0;0;Brasil;Suco de Uva
198;Taiwan;2015;0;0;Brasil;Suco de Uva
