     ;pais                            ;anos ;quantidade ;valor    ;origem ;tipo
1629 ;Suriname                        ;2020 ;      4185 ;    5277 ;Brasil ;Vinhos de Mesa
1630 ;Tailândia                       ;2020 ;       534 ;    1753 ;Brasil ;Vinhos de Mesa
1631 ;Taiwan (Formosa)                ;2020 ;       963 ;    4673 ;Brasil ;Vinhos de Mesa
1632 ;Tanzânia                        ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1633 ;Tcheca, República               ;2020 ;       563 ;    4805 ;Brasil ;Vinhos de Mesa
1634 ;Togo                            ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1635 ;Toquelau                        ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1636 ;Trinidade Tobago                ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1637 ;Tunísia                         ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1638 ;Turquia                         ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1639 ;Tuvalu                          ;2020 ;         2 ;       4 ;Brasil ;Vinhos de Mesa
1640 ;Uruguai                         ;2020 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1641 ;Vanuatu                         ;2020 ;        18 ;      31 ;Brasil ;Vinhos de Mesa
1642 ;Venezuela                       ;2020 ;      4086 ;    9808 ;Brasil ;Vinhos de Mesa
1643 ;Vietnã                          ;2020 ;        86 ;     584 ;Brasil ;Vinhos de Mesa
1644 ;Afeganistão                     ;2021 ;        11 ;      46 ;Brasil ;Vinhos de Mesa
1645 ;África do Sul                   ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1646 ;Alemanha, República Democrática ;2021 ;      2698 ;    6741 ;Brasil ;Vinhos de Mesa
1647 ;Angola                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1648 ;Anguilla                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1649 ;Antígua e Barbuda               ;2021 ;       805 ;    2268 ;Brasil ;Vinhos de Mesa
1650 ;Antilhas Holandesas             ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1651 ;Arábia Saudita                  ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1652 ;Argentina                       ;2021 ;         6 ;      13 ;Brasil ;Vinhos de Mesa
1653 ;Aruba                           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1654 ;Austrália                       ;2021 ;       705 ;    4034 ;Brasil ;Vinhos de Mesa
1655 ;Áustria                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1656 ;Bahamas                         ;2021 ;      1083 ;    4567 ;Brasil ;Vinhos de Mesa
1657 ;Bangladesh                      ;2021 ;         2 ;      20 ;Brasil ;Vinhos de Mesa
1658 ;Barbados                        ;2021 ;       216 ;     844 ;Brasil ;Vinhos de Mesa
1659 ;Barein                          ;2021 ;       302 ;     894 ;Brasil ;Vinhos de Mesa
1660 ;Bélgica                         ;2021 ;       483 ;    3749 ;Brasil ;Vinhos de Mesa
1661 ;Belice                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1662 ;Benin                           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1663 ;Bermudas                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1664 ;Bolívia                         ;2021 ;      5850 ;    8360 ;Brasil ;Vinhos de Mesa
1665 ;Bósnia-Herzegovina              ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1666 ;Brasil                          ;2021 ;        31 ;      46 ;Brasil ;Vinhos de Mesa
1667 ;Bulgária                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1668 ;Cabo Verde                      ;2021 ;        16 ;     124 ;Brasil ;Vinhos de Mesa
1669 ;Camarões                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1670 ;Canadá                          ;2021 ;      1172 ;    6157 ;Brasil ;Vinhos de Mesa
1671 ;Catar                           ;2021 ;         1 ;       2 ;Brasil ;Vinhos de Mesa
1672 ;Cayman, Ilhas                   ;2021 ;       104 ;     356 ;Brasil ;Vinhos de Mesa
1673 ;Chile                           ;2021 ;        26 ;       6 ;Brasil ;Vinhos de Mesa
1674 ;China                           ;2021 ;     61884 ;  264116 ;Brasil ;Vinhos de Mesa
1675 ;Chipre                          ;2021 ;      1855 ;    4530 ;Brasil ;Vinhos de Mesa
1676 ;Cingapura                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1677 ;Cocos (Keeling), Ilhas          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1678 ;Colômbia                        ;2021 ;     12160 ;   21867 ;Brasil ;Vinhos de Mesa
1679 ;Comores                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1680 ;Congo                           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1681 ;Coreia, Republica Sul           ;2021 ;        67 ;     100 ;Brasil ;Vinhos de Mesa
1682 ;Costa do Marfim                 ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1683 ;Costa Rica                      ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1684 ;Croácia                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1685 ;Cuba                            ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1686 ;Curaçao                         ;2021 ;     32263 ;   58993 ;Brasil ;Vinhos de Mesa
1687 ;Dinamarca                       ;2021 ;        87 ;     504 ;Brasil ;Vinhos de Mesa
1688 ;Dominica                        ;2021 ;       460 ;     634 ;Brasil ;Vinhos de Mesa
1689 ;El Salvador                     ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1690 ;Emirados Arabes Unidos          ;2021 ;       810 ;   10522 ;Brasil ;Vinhos de Mesa
1691 ;Equador                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1692 ;Eslovaca, Republica             ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1693 ;Espanha                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1694 ;Estados Unidos                  ;2021 ;    111085 ;  203554 ;Brasil ;Vinhos de Mesa
1695 ;Estônia                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1696 ;Filipinas                       ;2021 ;      2784 ;   10368 ;Brasil ;Vinhos de Mesa
1697 ;Finlândia                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
